up_new,Descrizione,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20,e21
5.4.8.7.0,Bagnini e professioni assimilate,66.6666666667,66.6666666667,64.2857142857,54.7619047619,34.5238095238,50,46.4285714286,69.0476190476,34.5238095238,61.9047619048,54.7619047619,78.5714285714,75,82.1428571429,85.7142857143,77.9411764706,69.1176470588,61.7647058824,36.9047619048,48.5294117647,64.2857142857
5.4.8.8.0,Esercenti di garage ed autorimesse,70.2380952381,69.0476190476,83.3333333333,76.1904761905,32.1428571429,50,59.5238095238,71.4285714286,25,51.1904761905,55.9523809524,65.4761904762,73.8095238095,61.9047619048,80.9523809524,,,,65.4761904762,,78.5714285714
6.1.1.1.0,Brillatori e artificieri in cave e miniere,76.25,73.75,61.25,51.25,52.5,38.75,60,70,50,61.25,45,65,75,52.5,71.25,67.5,61.25,63.75,40,41.25,36.25
6.1.1.2.0,"Tagliatori e levigatori di pietre, scalpellini e marmisti",77.5,68.75,75,62.5,65,50,45,70,41.25,62.5,58.75,65,66.25,62.5,71.25,75,75,75,72.5,46.4285714286,65
6.1.1.3.0,Coltivatori di saline,65.2777777778,62.5,69.4444444444,61.1111111111,48.6111111111,51.3888888889,69.4444444444,69.4444444444,61.1111111111,47.2222222222,44.4444444444,61.1111111111,73.6111111111,77.7777777778,73.6111111111,72.2222222222,63.8888888889,61.1111111111,47.2222222222,47.2222222222,37.5
6.1.2.1.0,Muratori in pietra e mattoni,80,71,76,64,75,47,47,64,46,57,52,67,71,61,76,75,75,68.4210526316,51,36.8421052632,42
6.1.2.2.1,Casseronisti/Cassonisti,76.3157894737,72.3684210526,81.5789473684,53.9473684211,64.4736842105,56.5789473684,61.8421052632,69.7368421053,52.6315789474,69.7368421053,60.5263157895,72.3684210526,73.6842105263,53.9473684211,73.6842105263,75,77.7777777778,73.6111111111,63.1578947368,52.7777777778,55.2631578947
6.1.2.2.2,Muratori e formatori in calcestruzzo,77.5,72.5,85,55,70,56.25,56.25,65,53.75,70,56.25,72.5,72.5,53.75,75,76.3157894737,75,67.1052631579,51.25,48.6842105263,43.75
6.1.2.3.0,Carpentieri e falegnami edili,82.1428571429,76.1904761905,82.1428571429,41.6666666667,69.0476190476,44.0476190476,59.5238095238,63.0952380952,48.8095238095,69.0476190476,57.1428571429,72.619047619,76.1904761905,65.4761904762,77.380952381,72.0588235294,75,72.0588235294,53.5714285714,39.7058823529,47.619047619
6.1.2.4.0,Ponteggiatori,78.5714285714,71.4285714286,77.380952381,48.8095238095,63.0952380952,47.619047619,61.9047619048,64.2857142857,47.619047619,71.4285714286,46.4285714286,70.2380952381,69.0476190476,66.6666666667,76.1904761905,73.6842105263,77.6315789474,75,51.1904761905,46.0526315789,38.0952380952
