up_new,Descrizione,C1a,C1B,C2a,C2b,C3a,C3b,C4a,C4b,C5a,C5b,C6a,C6b,C7a,C7b,C8a,C8b,C9a,C9b,C10a,C10b,C11a,C11b,C12a,C12b,C13a,C13b,C14a,C14b,C15a,C15b,C16a,C16b,C17a,C17b,C18a,C18b,C19a,C19b,C20a,C20b,C21a,C21b,C22a,C22b,C23a,C23b,C24a,C24b,C25a,C25b,C26a,C26b,C27a,C27b,C28a,C28b,C29a,C29b,C30a,C30b,C31a,C31b,C32a,C32b,C33a,C33b,C34a,C34b,C35a,C35b
3.3.4.5.0,Agenti e periti immobiliari,81.8181818182,62.3376623377,81.8181818182,68.1818181818,76.1363636364,62.987012987,89.7727272727,68.1818181818,36.3636363636,44.1558441558,13.6363636364,14.2857142857,63.6363636364,59.0909090909,59.0909090909,51.9480519481,38.6363636364,40.9090909091,46.5909090909,49.3506493506,65.9090909091,57.7922077922,51.1363636364,53.2467532468,53.4090909091,50,78.4090909091,68.1818181818,37.5,35.7142857143,67.0454545455,53.2467532468,70.4545454545,59.7402597403,47.7272727273,50,12.5,12.987012987,43.1818181818,43.5064935065,3.4090909091,4.5454350649,1.1363636364,1.2986818182,10.2272727273,6.4935064935,0,0,5.6818181818,5.1948051948,4.5454545455,7.1428571429,10.2272727273,9.0909090909,2.2727272727,3.2467532468,6.8181818182,5.8441558442,2.2727272727,3.8960844156,61.3636363636,53.8961038961,63.6363636364,55.8441558442,64.7727272727,61.6883116883,19.3181818182,17.5324675325,43.1818181818,37.012987013
3.3.4.6.0,Rappresentanti di commercio,69.0476190476,55.1020408163,78.5714285714,65.9863945578,69.0476190476,57.1428571429,82.1428571429,74.1496598639,32.1428571429,36.0544217687,19.0476190476,19.7278911565,65.4761904762,55.1020408163,59.5238095238,56.462585034,42.8571428571,37.4149659864,52.380952381,44.8979591837,60.7142857143,53.0612244898,58.3333333333,56.462585034,71.4285714286,68.0272108844,83.3333333333,73.4693877551,40.4761904762,37.4149659864,65.4761904762,55.7823129252,60.7142857143,53.7414965986,39.2857142857,36.0544217687,21.4285714286,18.3673469388,29.7619047619,29.2517006803,7.1428571429,9.5238095238,1.1904761905,2.0408163265,19.0476190476,17.6870748299,0,0,1.1904761905,1.3605442177,2.380952381,3.4013605442,14.2857142857,16.3265306122,0,0,14.2857142857,15.6462585034,8.3333333333,8.843537415,44.0476190476,46.2585034014,76.1904761905,59.1836734694,48.8095238095,48.2993197279,32.1428571429,31.9727891156,33.3333333333,29.2517006803
3.3.4.7.0,Agenti e rappresentanti di artisti ed atleti,88.0434782609,65.2173913043,90.2173913043,66.4596273292,78.2608695652,62.1118012422,90.2173913043,70.1863354037,23.9130434783,22.9813664596,1.0869565217,1.2422360248,84.7826086957,65.2173913043,78.2608695652,61.4906832298,52.1739130435,44.7204968944,73.9130434783,54.6583850932,80.4347826087,63.3540372671,71.7391304348,63.9751552795,84.7826086957,71.428447205,95.652173913,73.9130434783,50,45.3416149068,80.4347826087,63.3540372671,68.4782608696,54.6583850932,39.1304347826,39.1304347826,1.0869565217,1.2422360248,7.6086956522,10.5589875776,2.1739130435,2.4844720497,1.0869565217,1.2422360248,2.1739130435,1.8633540373,0,0,3.2608695652,4.9689440994,1.0869565217,1.2422360248,11.9565217391,11.801242236,0,0,1.0869565217,1.2422173913,1.0869565217,1.2422173913,80.4347826087,63.9751552795,82.6086956522,61.4906832298,60.8695652174,51.5527950311,21.7391304348,14.2857142857,75,59.6273291925
3.4.1.1.0,Tecnici delle attività ricettive e professioni assimilate,73.6111111111,60.3174603175,77.7777777778,69.0476190476,76.3888888889,69.8412698413,79.1666666667,72.2222222222,31.9444444444,30.1587301587,16.6666666667,20.6349206349,61.1111111111,57.1428571429,63.8888888889,63.4920634921,38.8888888889,38.8888888889,54.1666666667,55.5555555556,45.8333333333,49.2063492063,73.6111111111,66.6666666667,38.8888888889,41.2698412698,41.6666666667,42.8571428571,38.8888888889,44.4444444444,62.5,60.3174603175,63.8888888889,65.0793650794,52.7777777778,49.2063492063,16.6666666667,15.873015873,36.1111111111,36.5079365079,6.9444444444,7.936484127,0,0,20.8333333333,23.0158730159,1.3888888889,1.5873015873,6.9444444444,9.5238095238,1.3888888889,1.5873015873,18.0555555556,19.8412698413,0,0,20.8333333333,17.4603174603,15.2777777778,15.873015873,44.4444444444,41.2698412698,62.5,58.7301587302,62.5,59.5238095238,48.6111111111,47.619047619,38.8888888889,38.8888888889
3.4.1.2.1,"Organizzatori di fiere, esposizioni ed eventi culturali",75,62.8571428571,76.25,73.5714285714,85,75,88.75,73.5714285714,30,39.2857142857,12.5,14.2857142857,72.5,63.5714285714,71.25,64.2857142857,55,50,66.25,60.7142857143,67.5,62.8571428571,87.5,74.2857142857,63.75,62.1428571429,75,65,55,54.2857142857,76.25,68.5714285714,66.25,60,65,61.4285714286,21.25,20,38.75,34.2857142857,3.75,4.2857142857,3.75,4.2857142857,31.25,30.7142857143,0,0,6.25,7.1428571429,1.25,2.8571428571,30,33.5714285714,0,0,27.5,25,23.75,22.8571428571,67.5,62.1428571429,82.5,71.4285714286,63.75,60.7142857143,45,37.8571428571,70,63.5714285714
3.4.1.2.2,Organizzatori di convegni e ricevimenti,81.5217391304,65.8385093168,85.8695652174,69.5652173913,82.6086956522,68.9440993789,85.8695652174,65.8385093168,46.7391304348,45.3416149068,11.9565217391,13.0434782609,72.8260869565,65.2173913043,68.4782608696,63.9751552795,48.9130434783,50.3105590062,63.0434782609,51.5527950311,65.2173913043,59.0062111801,78.2608695652,66.4596273292,55.4347826087,50.9316770186,76.0869565217,61.4906832298,67.3913043478,57.7639751553,84.7826086957,70.8074534161,78.2608695652,64.5962732919,75,65.8385093168,30.4347826087,29.1925465839,50,49.0683229814,14.1304347826,14.2857142857,5.4347826087,6.2111428571,41.3043478261,33.5403726708,3.2608695652,3.726689441,13.0434782609,11.1801242236,7.6086956522,7.4533975155,43.4782608696,35.4037267081,4.347826087,5.5900621118,35.8695652174,33.5403726708,34.7826086957,36.0248447205,77.1739130435,64.5962732919,85.8695652174,67.0807453416,82.6086956522,72.0495652174,51.0869565217,47.8260869565,68.4782608696,59.0062111801
3.4.1.3.0,Animatori turistici e professioni assimilate,41.6666666667,39.4557823129,88.0952380952,63.2653061224,51.1904761905,48.9795918367,86.9047619048,61.9047619048,23.8095238095,25.8503401361,10.7142857143,12.925170068,63.0952380952,51.7006802721,64.2857142857,52.380952381,54.7619047619,45.5782312925,64.2857142857,50.3401360544,64.2857142857,55.1020408163,84.5238095238,68.0272108844,64.2857142857,55.1020408163,52.380952381,45.5782312925,65.4761904762,45.5782312925,73.8095238095,56.462585034,58.3333333333,48.2993197279,46.4285714286,37.4149659864,13.0952380952,12.2448979592,40.4761904762,31.2925170068,23.8095238095,21.0884353741,2.380952381,3.4013401361,19.0476190476,19.0476190476,4.7619047619,5.4421768707,13.0952380952,10.8843537415,22.619047619,18.3673469388,32.1428571429,27.8911564626,25,17.6870748299,22.619047619,21.768707483,21.4285714286,20.4081632653,38.0952380952,30.612244898,88.0952380952,66.6666666667,30.9523809524,26.5306122449,45.2380952381,36.7346938776,70.2380952381,56.462585034
3.4.1.4.0,Agenti di viaggio,69.0476190476,66.6666666667,72.619047619,70.7482993197,66.6666666667,62.5850340136,77.380952381,64.6258503401,39.2857142857,43.537414966,5.9523809524,6.1224285714,46.4285714286,53.7414965986,51.1904761905,52.380952381,35.7142857143,41.4965986395,51.1904761905,55.7823129252,59.5238095238,57.8231292517,54.7619047619,55.7823129252,46.4285714286,41.4965986395,54.7619047619,48.9795918367,45.2380952381,46.2585034014,72.619047619,66.6666666667,61.9047619048,57.1428571429,47.619047619,46.2585034014,26.1904761905,25.1700680272,30.9523809524,34.0136054422,3.5714285714,4.0815918367,3.5714285714,5.4421564626,20.2380952381,18.3673469388,2.380952381,2.7210680272,13.0952380952,12.2448979592,10.7142857143,7.4829931973,20.2380952381,19.7278911565,2.380952381,2.721047619,7.1428571429,9.5237891156,10.7142857143,11.5646258503,55.9523809524,54.4217687075,73.8095238095,66.6666666667,63.0952380952,58.5034013605,40.4761904762,33.3333333333,40.4761904762,38.7755102041
3.4.1.5.1,Guide ed accompagnatori naturalistici e sportivi,53.5714285714,51.0204081633,61.9047619048,59.8639455782,51.1904761905,55.7823129252,85.7142857143,68.7074829932,25,23.1292517007,36.9047619048,36.0544217687,54.7619047619,53.7414965986,51.1904761905,48.2993197279,53.5714285714,48.2993197279,51.1904761905,46.9387755102,61.9047619048,58.5034013605,65.4761904762,56.462585034,45.2380952381,48.2993197279,48.8095238095,48.9795918367,66.6666666667,59.1836734694,61.9047619048,55.1020408163,46.4285714286,46.2585034014,38.0952380952,36.0544217687,13.0952380952,11.5646258503,42.8571428571,40.8163265306,10.7142857143,12.2448979592,3.5714285714,4.7618639456,25,21.768707483,11.9047619048,10.8843537415,13.0952380952,12.2448979592,17.8571428571,19.0476190476,35.7142857143,27.2108843537,3.5714285714,3.4013401361,21.4285714286,20.4081632653,16.6666666667,16.3265306122,50,44.2176870748,70.2380952381,57.8231292517,46.4285714286,40.1360544218,47.619047619,42.1768707483,40.4761904762,35.3741496599
3.4.1.5.2,Guide turistiche,72.619047619,58.5034013605,72.619047619,61.9047619048,42.8571428571,40.8163265306,96.4285714286,68.7074829932,7.1428571429,9.5238095238,4.7619047619,4.7619047619,59.5238095238,54.4217687075,54.7619047619,43.537414966,42.8571428571,38.0952380952,55.9523809524,44.8979591837,73.8095238095,54.4217687075,66.6666666667,53.0612244898,35.7142857143,29.9319727891,41.6666666667,35.3741496599,22.619047619,23.1292517007,83.3333333333,62.5850340136,46.4285714286,41.4965986395,28.5714285714,25.8503401361,1.1904761905,2.0408163265,17.8571428571,16.3265306122,0,0,1.1904761905,1.3605442177,8.3333333333,8.1632653061,0,0,0,0,0,0,4.7619047619,5.4421564626,0,0,0,0,0,0,32.1428571429,24.4897959184,84.5238095238,58.5032653061,25,23.1292517007,8.3333333333,6.8027210884,14.2857142857,11.5646258503
3.4.2.1.1,Istruttori di volo,82.1428571429,74.8299319728,82.1428571429,68.0272108844,66.6666666667,57.8231292517,92.8571428571,76.1904761905,70.2380952381,55.7823129252,63.0952380952,48.9795918367,86.9047619048,70.7482993197,78.5714285714,67.3469387755,85.7142857143,73.4691156463,69.0476190476,57.8231292517,70.2380952381,68.7074829932,76.1904761905,62.5850340136,58.3333333333,45.5782312925,32.1428571429,31.9727891156,98.8095238095,85.7142857143,51.1904761905,48.2993197279,70.2380952381,56.462585034,58.3333333333,56.462585034,21.4285714286,23.1292517007,50,46.2585034014,9.5238095238,10.2040816327,1.1904761905,1.3605238095,42.8571428571,38.0952380952,65.4761904762,58.5034013605,58.3333333333,51.0204081633,22.619047619,19.0476190476,66.6666666667,57.1428571429,4.7619047619,5.4421564626,48.8095238095,44.2176870748,35.7142857143,37.4149659864,42.8571428571,37.4149659864,73.8095238095,57.8231292517,25,24.4897959184,42.8571428571,39.4557823129,44.0476190476,44.8979591837
3.4.2.1.2,Istruttori di guida automobilistica,42.5,32.1428571429,51.25,46.4285714286,31.25,27.1428571429,70,67.8571428571,20,17.8571428571,21.25,25.7142857143,50,50,41.25,37.8571428571,66.25,66.4285714286,37.5,35.7142857143,55,54.2857142857,50,55,45,51.4285714286,36.25,37.1428571429,85,68.5714285714,47.5,52.8571428571,32.5,36.4285714286,26.25,28.5714285714,11.25,12.1428571429,17.5,18.5714285714,13.75,14.2857142857,6.25,5.7142857143,23.75,20.7142857143,40,34.2857142857,21.25,25.7142857143,30,32.8571428571,23.75,26.4285714286,16.25,15.7142857143,12.5,12.1428571429,13.75,12.8571428571,30,31.4285714286,57.5,57.8571428571,30,26.4285714286,32.5,28.5714285714,23.75,19.2857142857
3.4.2.1.3,Istruttori di nautica,62.5,51.2987012987,72.7272727273,65.5844155844,48.8636363636,48.0519480519,85.2272727273,69.4805194805,59.0909090909,53.2467532468,55.6818181818,47.4025974026,68.1818181818,58.4415584416,65.9090909091,59.7402597403,76.1363636364,63.6363636364,65.9090909091,58.4415584416,71.5909090909,62.3376623377,69.3181818182,63.6363636364,60.2272727273,61.6883116883,46.5909090909,45.4545454545,95.4545454545,80.5194805195,65.9090909091,57.1428571429,53.4090909091,48.0519480519,36.3636363636,36.3636363636,19.3181818182,20.7792207792,51.1363636364,50,28.4090909091,27.9220779221,2.2727272727,2.5973831169,20.4545454545,20.7792207792,29.5454545455,23.3766233766,43.1818181818,42.8571428571,50,48.0519480519,59.0909090909,57.7922077922,35.2272727273,40.2597402597,19.3181818182,20.7792207792,17.0454545455,16.2337662338,55.6818181818,49.3506493506,68.1818181818,60.3896103896,43.1818181818,38.961038961,51.1363636364,47.4025974026,38.6363636364,34.4155844156
3.4.2.2.0,Insegnanti nella formazione professionale,75,68.7074829932,78.5714285714,68.0272108844,58.3333333333,56.462585034,85.7142857143,74.1496598639,33.3333333333,29.2517006803,35.7142857143,34.693877551,64.2857142857,56.462585034,57.1428571429,54.4217687075,83.3333333333,74.1495238095,63.0952380952,63.2653061224,63.0952380952,63.2653061224,60.7142857143,62.5850340136,40.4761904762,38.0952380952,45.2380952381,46.9387755102,94.0476190476,76.1904761905,58.3333333333,61.2244897959,53.5714285714,50.3401360544,60.7142857143,55.7823129252,34.5238095238,35.3741496599,58.3333333333,60.5442176871,17.8571428571,15.6462585034,11.9047619048,15.6462585034,32.1428571429,31.2925170068,13.0952380952,12.925170068,20.2380952381,20.4081632653,19.0476190476,17.6870748299,21.4285714286,23.8095238095,13.0952380952,13.6054421769,20.2380952381,19.0476190476,22.619047619,20.4081632653,41.6666666667,41.4965986395,59.5238095238,53.0612244898,33.3333333333,32.6530612245,46.4285714286,40.8163265306,42.8571428571,38.0952380952
3.4.2.3.0,Istruttori di tecniche in campo artistico,56.5789473684,47.3684210526,77.6315789474,64.6616541353,48.6842105263,47.3684210526,82.8947368421,69.1729323308,35.5263157895,35.3383458647,21.0526315789,18.045112782,63.1578947368,57.8947368421,57.8947368421,50.3759398496,73.6842105263,66.1654135338,67.1052631579,59.3984962406,72.3684210526,58.6466165414,69.7368421053,66.1654135338,48.6842105263,44.3609022556,48.6842105263,37.5939849624,90.7894736842,80.4511278195,63.1578947368,60.9022556391,51.3157894737,47.3684210526,56.5789473684,51.1278195489,19.7368421053,16.5413533835,47.3684210526,46.6165413534,1.3157894737,1.5037368421,1.3157894737,1.5037368421,14.4736842105,17.2932330827,1.3157894737,2.2556390977,13.1578947368,12.030075188,5.2631578947,5.2631578947,19.7368421053,19.5488721805,0,0,14.4736842105,13.5338345865,13.1578947368,14.2857142857,48.6842105263,41.3533834586,68.4210526316,57.1428571429,35.5263157895,30.0751879699,34.2105263158,31.5789473684,43.4210526316,36.0902255639
3.4.2.4.0,Istruttori di discipline sportive non agonistiche,47.8260869565,44.7204968944,63.0434782609,56.5217391304,34.7826086957,35.4037267081,83.6956521739,65.2173913043,16.3043478261,16.7701863354,27.1739130435,26.7080745342,57.6086956522,52.7950310559,58.6956521739,54.0372670807,70.652173913,68.9440993789,70.652173913,64.5962732919,71.7391304348,66.4596273292,65.2173913043,60.8695652174,50,44.099378882,36.9565217391,37.2670807453,91.3043478261,72.6708074534,67.3913043478,54.6583850932,48.9130434783,49.0683229814,40.2173913043,44.099378882,17.3913043478,19.2546583851,61.9565217391,55.2795031056,16.3043478261,9.9378881988,0,0,25,24.8447204969,13.0434782609,13.0434782609,25,21.1180124224,15.2173913043,11.801242236,36.9565217391,32.9192546584,4.347826087,1.8633540373,16.3043478261,15.5279503106,17.3913043478,17.3913043478,54.347826087,47.8260869565,71.7391304348,62.1118012422,26.0869565217,31.6770186335,57.6086956522,48.4472049689,46.7391304348,43.4782608696
3.4.2.5.1,Organizzatori di eventi e di strutture sportive,72.3684210526,57.1428571429,77.6315789474,65.4135338346,69.7368421053,62.4060150376,73.6842105263,65.4135338346,35.5263157895,40.6015037594,14.4736842105,18.045112782,61.8421052632,57.8947368421,59.2105263158,53.3834586466,38.1578947368,36.8421052632,53.9473684211,48.8721804511,55.2631578947,50.3759398496,59.2105263158,51.8796992481,48.6842105263,49.6240601504,64.4736842105,55.6390977444,52.6315789474,48.1203007519,61.8421052632,54.8872180451,59.2105263158,57.8947368421,53.9473684211,51.1278195489,22.3684210526,26.3157894737,42.1052631579,42.8571428571,5.2631578947,5.2631578947,1.3157894737,1.5037368421,21.0526315789,20.3007518797,3.9473684211,3.7593759398,17.1052631579,13.5338345865,11.8421052632,9.7744360902,38.1578947368,34.5864661654,3.9473684211,5.2631578947,27.6315789474,25.5639097744,25,24.0601503759,75,66.1654135338,73.6842105263,60.9022556391,77.6315789474,69.1729323308,50,47.3684210526,55.2631578947,47.3684210526
3.4.2.5.2,Osservatori sportivi,45,41.9047619048,61.6666666667,54.2857142857,53.3333333333,46.6666666667,78.3333333333,60,13.3333333333,12.380952381,5,5.7142857143,50,48.5714285714,35,29.5238095238,21.6666666667,20,85,70.476,63.3333333333,54.2857142857,51.6666666667,47.619047619,45,39.0476190476,48.3333333333,46.6666666667,28.3333333333,26.6666666667,21.6666666667,20.9523809524,11.6666666667,10.4761904762,8.3333333333,9.5238095238,3.3333333333,3.8095238095,6.6666666667,6.6666666667,6.6666666667,4.7619047619,3.3333333333,3.8095238095,5,4.7618761905,0,0,3.3333333333,3.8095238095,3.3333333333,3.8095238095,5,5.7142571429,0,0,3.3333333333,3.8095238095,3.3333333333,3.8095238095,46.6666666667,44.7619047619,61.6666666667,50.4761904762,5,4.7618761905,1.6666666667,1.9047333333,60,48.5714285714
3.4.2.6.1,Allenatori e tecnici sportivi,61.7647058824,50.4201680672,83.8235294118,55.4621848739,45.5882352941,45.3781512605,91.1764705882,63.025210084,22.0588235294,19.3277310924,19.1176470588,15.9663865546,79.4117647059,57.9831932773,80.8823529412,59.6638655462,82.3529411765,68.0672268908,85.2941176471,66.3865546218,66.1764705882,55.4621848739,75,61.3445378151,58.8235294118,51.2605042017,51.4705882353,47.8991596639,94.1176470588,68.9075630252,57.3529411765,48.7394957983,61.7647058824,42.8571428571,44.1176470588,32.7731092437,5.8823529412,6.7226890756,45.5882352941,29.4117647059,13.2352941176,11.7647058824,0,0,4.4117647059,5.0419915966,0,0,5.8823529412,6.7226890756,20.5882352941,14.2857142857,23.5294117647,19.3277310924,10.2941176471,6.7226890756,23.5294117647,22.6890756303,26.4705882353,24.3697478992,52.9411764706,40.3361344538,69.1176470588,51.2605042017,14.7058823529,13.4453781513,38.2352941176,21.8487394958,72.0588235294,55.4621848739
3.4.2.6.2,Arbitri e giudici di gara,75,52.8571428571,75,55.7142857143,60,47.1428571429,78.75,51.4285714286,26.25,27.1428571429,21.25,17.1428571429,73.75,59.2857142857,72.5,54.2857142857,53.75,39.2857142857,57.5,46.4285714286,68.75,52.8571428571,78.75,57.8571428571,45,45.7142857143,58.75,44.2857142857,41.25,35.7142857143,51.25,35.7142857143,61.25,45,23.75,20,5,4.9999571429,21.25,20,2.5,2.8571,1.25,1.42855,16.25,16.4285714286,3.75,4.2856714286,3.75,4.2856714286,2.5,4.2856928571,12.5,15,1.25,1.42855,13.75,13.5714285714,16.25,12.1428571429,47.5,35,45,37.1428571429,5,3.5713857143,17.5,14.2857142857,21.25,19.2857142857
3.4.2.7.0,Atleti,33.3333333333,29.5238095238,70,54.2857142857,8.3333333333,9.5238095238,65,47.619047619,10,8.5714285714,5,6.6666666667,53.3333333333,41.9047619048,56.6666666667,46.6666666667,35,27.619047619,36.6666666667,31.4285714286,31.6666666667,30.4761904762,86.6666666667,63.8095238095,15,15.2380952381,13.3333333333,11.4285714286,21.6666666667,19.0476190476,11.6666666667,13.3333333333,20,15.2380952381,11.6666666667,6.6666666667,0,0,18.3333333333,13.3333333333,3.3333333333,3.8095238095,0,0,3.3333333333,3.8095238095,0,0,0,0,5,2.8571142857,1.6666666667,1.9047333333,1.6666666667,1.9047333333,3.3333333333,2.8571428571,0,0,28.3333333333,22.8571428571,50,38.0952380952,3.3333333333,3.8095238095,13.3333333333,9.5238095238,3.3333333333,5.7142857143
3.4.3.1.1,Annunciatori della radio e della televisione,80,62.8571428571,82.5,68.5714285714,62.5,62.1428571429,95,78.5714285714,16.25,14.2857142857,5,4.9999785714,55,50.7142857143,58.75,55,45,47.8571428571,48.75,42.1428571429,63.75,55,63.75,57.8571428571,40,41.4285714286,43.75,43.5714285714,36.25,39.2857142857,47.5,45,41.25,42.1428571429,47.5,47.8571428571,22.5,20.7142857143,48.75,51.4285714286,22.5,22.1428571429,11.25,10,22.5,22.1428571429,28.75,25.7142857143,25,22.8571428571,15,15,31.25,26.4285714286,12.5,14.2857142857,20,17.8571428571,18.75,16.4285714286,27.5,23.5714285714,68.75,63.5714285714,21.25,19.2857142857,36.25,33.5714285714,22.5,23.5714285714
3.4.3.1.2,Presentatori di performance artistiche e ricreative,52.0833333333,36.9047619048,79.1666666667,53.5714285714,37.5,33.3333333333,62.5,45.2380952381,18.75,15.4761904762,2.0833333333,1.1904761905,54.1666666667,39.2857142857,50,35.7142857143,39.5833333333,26.1904761905,56.25,35.7142857143,68.75,46.4285714286,64.5833333333,45.2380952381,31.25,20.2380952381,39.5833333333,29.7619047619,22.9166666667,13.0952380952,62.5,41.6666666667,29.1666666667,22.619047619,22.9166666667,19.0476190476,12.5,9.5238095238,54.1666666667,32.1428571429,50,28.5714285714,10.4166666667,5.9523809524,14.5833333333,9.5238095238,29.1666666667,17.8571428571,39.5833333333,26.1904761905,29.1666666667,21.4285714286,52.0833333333,33.3333333333,20.8333333333,17.8571428571,20.8333333333,11.9047619048,18.75,13.0952380952,70.8333333333,38.0952380952,70.8333333333,42.8571428571,29.1666666667,22.619047619,56.25,33.3333333333,20.8333333333,15.4761904762
3.4.3.2.0,"Tecnici dell'organizzazione della produzione radiotelevisiva, cinematografica e teatrale",72.7272727273,68.8311688312,77.2727272727,67.5324675325,62.5,60.3896103896,84.0909090909,76.6233766234,26.1363636364,26.6233766234,13.6363636364,16.2337662338,63.6363636364,62.987012987,59.0909090909,55.8441558442,45.4545454545,46.1038961039,70.4545454545,65.5844155844,63.6363636364,63.6363636364,79.5454545455,74.025974026,42.0454545455,48.7012987013,55.6818181818,57.7922077922,48.8636363636,50.6493506494,52.2727272727,55.8441558442,61.3636363636,56.4935064935,55.6818181818,53.2467532468,40.9090909091,42.2077922078,48.8636363636,49.3506493506,22.7272727273,25.3246753247,14.7727272727,15.5844155844,44.3181818182,46.1038961039,29.5454545455,29.8701298701,38.6363636364,38.961038961,20.4545454545,22.7272727273,32.9545454545,30.5194805195,14.7727272727,16.2337662338,39.7727272727,41.5584415584,27.2727272727,28.5714285714,56.8181818182,54.5454545455,81.8181818182,74.6753246753,50,46.7532467532,59.0909090909,53.2467532468,65.9090909091,62.3376623377
3.4.3.3.0,Intrattenitori,43.1818181818,41.5584415584,65.9090909091,66.2337662338,40.9090909091,45.4545454545,75,70.1298701299,25,29.8701298701,18.1818181818,22.0779220779,65.9090909091,61.038961039,56.8181818182,54.5454545455,34.0909090909,31.1688311688,31.8181818182,31.1688311688,59.0909090909,57.1428571429,47.7272727273,48.0519480519,50,50.6493506494,45.4545454545,49.3506493506,40.9090909091,42.8571428571,52.2727272727,49.3506493506,29.5454545455,33.7662337662,25,25.974025974,4.5454545455,7.7922077922,18.1818181818,16.8831168831,13.6363636364,16.8831168831,2.2727272727,2.5973636364,11.3636363636,14.2857142857,11.3636363636,14.2857142857,11.3636363636,14.2857142857,15.9090909091,16.8831168831,22.7272727273,23.3766233766,11.3636363636,14.2857142857,13.6363636364,14.2857142857,13.6363636364,14.2857142857,29.5454545455,29.8701298701,59.0909090909,55.8441558442,25,24.6753246753,29.5454545455,28.5714285714,20.4545454545,20.7792207792
3.4.4.1.1,Grafici,68.3333333333,63.3333333333,75,62.8571428571,63.3333333333,60.9523809524,65,61.4285714286,33.3333333333,35.2380952381,19.1666666667,21.4285714286,61.6666666667,55.2380952381,57.5,55.2380952381,43.3333333333,41.4285714286,51.6666666667,52.380952381,50.8333333333,49.0476190476,62.5,61.4285714286,40,41.9047619048,56.6666666667,55.7142857143,45,45.2380952381,66.6666666667,60,60.8333333333,56.6666666667,61.6666666667,59.0476190476,27.5,27.619047619,58.3333333333,56.1904761905,28.3333333333,27.619047619,15,14.2857142857,35.8333333333,32.380952381,18.3333333333,16.1904761905,25,25.7142857143,15,11.9047619048,26.6666666667,25.2380952381,6.6666666667,6.6666666667,16.6666666667,15.2380952381,18.3333333333,17.619047619,43.3333333333,41.4285714286,60.8333333333,54.7619047619,38.3333333333,35.7142857143,43.3333333333,39.5238095238,34.1666666667,36.1904761905
3.4.4.1.2,Allestitori di scena,76.6666666667,60,83.3333333333,66.6666666667,50,49.5238095238,76.6666666667,66.6666666667,35,39.0476190476,21.6666666667,20,75,63.8095238095,63.3333333333,57.1428571429,51.6666666667,49.5238095238,66.6666666667,55.2380952381,33.3333333333,39.0476190476,88.3333333333,76.1904761905,55,59.0476190476,60,54.2857142857,68.3333333333,62.8571428571,55,54.2857142857,60,57.1428571429,56.6666666667,48.5714285714,31.6666666667,36.1904761905,71.6666666667,69.5238095238,21.6666666667,20.9523809524,3.3333333333,2.8571142857,28.3333333333,30.4761904762,23.3333333333,20.9523809524,28.3333333333,28.5714285714,28.3333333333,27.619047619,38.3333333333,38.0952380952,13.3333333333,13.3333333333,23.3333333333,30.4761904762,21.6666666667,30.4761904762,61.6666666667,46.6666666667,71.6666666667,62.8571428571,71.6666666667,60,60,49.5238095238,61.6666666667,57.1428571429
3.4.4.2.1,Tecnici dei musei,85.4166666667,69.0476190476,79.1666666667,69.0476190476,81.25,65.4761904762,87.5,65.4761904762,33.3333333333,32.1428571429,25,21.4285714286,77.0833333333,61.9047619048,87.5,60.7142857143,50,45.2380952381,66.6666666667,58.3333333333,66.6666666667,60.7142857143,85.4166666667,67.8571428571,41.6666666667,39.2857142857,56.25,39.2857142857,50,41.6666666667,60.4166666667,52.380952381,77.0833333333,60.7142857143,81.25,60.7142857143,20.8333333333,19.0476190476,45.8333333333,40.4761904762,4.1666666667,4.7619047619,2.0833333333,1.1904761905,20.8333333333,17.8571428571,4.1666666667,5.9523809524,10.4166666667,13.0952380952,4.1666666667,4.7619047619,25,17.8571428571,0,0,27.0833333333,26.1904761905,29.1666666667,23.8095238095,66.6666666667,55.9523809524,72.9166666667,57.1428571429,52.0833333333,40.4761904762,47.9166666667,39.2857142857,45.8333333333,33.3333333333
3.4.4.2.2,Tecnici delle biblioteche,75,63.9455782313,79.7619047619,64.6258503401,65.4761904762,58.5034013605,78.5714285714,62.5850340136,14.2857142857,19.7278911565,14.2857142857,16.3265306122,59.5238095238,51.0204081633,55.9523809524,55.1020408163,38.0952380952,38.0952380952,50,46.9387755102,58.3333333333,53.0612244898,66.6666666667,61.2244897959,34.5238095238,36.7346938776,41.6666666667,42.1768707483,50,48.9795918367,66.6666666667,59.8639455782,48.8095238095,40.8163265306,38.0952380952,36.0544217687,17.8571428571,18.3673469388,39.2857142857,38.0952380952,8.3333333333,9.5238095238,2.380952381,3.4013605442,23.8095238095,23.1292517007,16.6666666667,17.0068027211,19.0476190476,17.6870748299,7.1428571429,6.8027210884,25,26.5306122449,2.380952381,3.4013605442,16.6666666667,15.6462585034,19.0476190476,17.0068027211,27.380952381,27.8911564626,57.1428571429,46.9387755102,27.380952381,23.1292517007,28.5714285714,25.1700680272,19.0476190476,20.4081632653
